Loaded checkpoint from ckpt/sam_med3d_turbo.pth (epoch 0)
Epoch: 0/199
Dice Loss: 0.836205, CE Loss: 38.593563, Total: 39.429768
Dice Loss: 0.656500, CE Loss: 36.019035, Total: 36.675533
Dice Loss: 0.580537, CE Loss: 32.483261, Total: 33.063797
Dice Loss: 0.664486, CE Loss: 36.447586, Total: 37.112072
Dice Loss: 0.549124, CE Loss: 32.224564, Total: 32.773685
Dice Loss: 0.680957, CE Loss: 32.483089, Total: 33.164047
Dice Loss: 0.620904, CE Loss: 30.091656, Total: 30.712561
Dice Loss: 0.818537, CE Loss: 40.123959, Total: 40.942497
Dice Loss: 0.655987, CE Loss: 31.536896, Total: 32.192883
Dice Loss: 0.616443, CE Loss: 28.618692, Total: 29.235134
Dice Loss: 0.743550, CE Loss: 34.341896, Total: 35.085445
Dice Loss: 0.713874, CE Loss: 32.398521, Total: 33.112396
Dice Loss: 0.819170, CE Loss: 36.906673, Total: 37.725845
Dice Loss: 0.800368, CE Loss: 34.968376, Total: 35.768745
Dice Loss: 0.805844, CE Loss: 34.787544, Total: 35.593388
Dice Loss: 0.773750, CE Loss: 31.363384, Total: 32.137135
Dice Loss: 0.793059, CE Loss: 33.513901, Total: 34.306961
Dice Loss: 0.792017, CE Loss: 32.283184, Total: 33.075199
Dice Loss: 0.707149, CE Loss: 25.210552, Total: 25.917702
Dice Loss: 0.764046, CE Loss: 35.478508, Total: 36.242554
Dice Loss: 0.541413, CE Loss: 17.391562, Total: 17.932974
Dice Loss: 0.636470, CE Loss: 21.825567, Total: 22.462038
Dice Loss: 0.473956, CE Loss: 14.476827, Total: 14.950783
Dice Loss: 0.665553, CE Loss: 25.343206, Total: 26.008759
Dice Loss: 0.628773, CE Loss: 21.250515, Total: 21.879288
Dice Loss: 0.457802, CE Loss: 12.596849, Total: 13.054651
Dice Loss: 0.510570, CE Loss: 15.254172, Total: 15.764743
Dice Loss: 0.415109, CE Loss: 10.915289, Total: 11.330399
Dice Loss: 0.458083, CE Loss: 12.730757, Total: 13.188840
Dice Loss: 0.557363, CE Loss: 25.663013, Total: 26.220377
Dice Loss: 0.417195, CE Loss: 16.207010, Total: 16.624205
Dice Loss: 0.586016, CE Loss: 28.030781, Total: 28.616796
Dice Loss: 0.510428, CE Loss: 25.080883, Total: 25.591311
Dice Loss: 0.559215, CE Loss: 30.287411, Total: 30.846626
Dice Loss: 0.519804, CE Loss: 26.595524, Total: 27.115328
Dice Loss: 0.657196, CE Loss: 41.313026, Total: 41.970222
Dice Loss: 0.564011, CE Loss: 29.206503, Total: 29.770514
Dice Loss: 0.614417, CE Loss: 33.715130, Total: 34.329548
Dice Loss: 0.596381, CE Loss: 33.553818, Total: 34.150200
Dice Loss: 0.599648, CE Loss: 33.718899, Total: 34.318546
Dice Loss: 0.680250, CE Loss: 32.684486, Total: 33.364738
Dice Loss: 0.679894, CE Loss: 40.385056, Total: 41.064949
Dice Loss: 0.559500, CE Loss: 26.587032, Total: 27.146532
Dice Loss: 0.371997, CE Loss: 13.801937, Total: 14.173934
Dice Loss: 0.376200, CE Loss: 17.010345, Total: 17.386545
Dice Loss: 0.107726, CE Loss: 4.519199, Total: 4.626925
Dice Loss: -0.075852, CE Loss: -3.780531, Total: -3.856383
Dice Loss: -0.120030, CE Loss: -6.052801, Total: -6.172832
Dice Loss: -0.000464, CE Loss: 1.575147, Total: 1.574682
Dice Loss: -0.166255, CE Loss: -6.125376, Total: -6.291631
Dice Loss: -0.183798, CE Loss: -7.174726, Total: -7.358525
Dice Loss: 0.476462, CE Loss: 18.413918, Total: 18.890379
Dice Loss: 0.313139, CE Loss: 9.776455, Total: 10.089594
Dice Loss: 0.224601, CE Loss: 6.582585, Total: 6.807187
Dice Loss: -0.039625, CE Loss: -5.296757, Total: -5.336382
Dice Loss: 0.091712, CE Loss: -3.733592, Total: -3.641880
Dice Loss: -0.110793, CE Loss: -11.478531, Total: -11.589324
Dice Loss: 0.063294, CE Loss: -5.759008, Total: -5.695714
Dice Loss: 0.118273, CE Loss: 0.276055, Total: 0.394328
Dice Loss: 0.030345, CE Loss: -4.321079, Total: -4.290734
Dice Loss: -0.056398, CE Loss: -7.423924, Total: -7.480323
Dice Loss: -0.067557, CE Loss: -8.424105, Total: -8.491661
Dice Loss: 0.852199, CE Loss: 84.293129, Total: 85.145325
Dice Loss: 0.749517, CE Loss: 54.054295, Total: 54.803810
Dice Loss: 0.802534, CE Loss: 69.573540, Total: 70.376076
Dice Loss: 0.718153, CE Loss: 53.175472, Total: 53.893623
Dice Loss: 0.563633, CE Loss: 38.520100, Total: 39.083733
Dice Loss: 0.699996, CE Loss: 49.072014, Total: 49.772011
Dice Loss: 0.634379, CE Loss: 48.325710, Total: 48.960091
Dice Loss: 0.429990, CE Loss: 33.893433, Total: 34.323421
Dice Loss: 0.487846, CE Loss: 33.578785, Total: 34.066631
Dice Loss: 0.338570, CE Loss: 28.139507, Total: 28.478077
Dice Loss: 0.287616, CE Loss: 23.794117, Total: 24.081734
Dice Loss: 0.698222, CE Loss: 44.848019, Total: 45.546242
Dice Loss: 0.546336, CE Loss: 36.720596, Total: 37.266933
Dice Loss: 0.491011, CE Loss: 35.565762, Total: 36.056774
Dice Loss: 0.478254, CE Loss: 23.389717, Total: 23.867971
Dice Loss: 0.094860, CE Loss: 4.981018, Total: 5.075878
Dice Loss: -0.013814, CE Loss: 0.143418, Total: 0.129604
Dice Loss: 0.035251, CE Loss: -0.709965, Total: -0.674715
Dice Loss: 0.071713, CE Loss: 5.096852, Total: 5.168566
Dice Loss: 0.147415, CE Loss: 4.821495, Total: 4.968910
Dice Loss: -0.105427, CE Loss: -5.484172, Total: -5.589599
Dice Loss: -0.248827, CE Loss: -11.620676, Total: -11.869503
Dice Loss: 0.782564, CE Loss: 31.982216, Total: 32.764778
Dice Loss: 0.674062, CE Loss: 20.550442, Total: 21.224503
Dice Loss: 0.712306, CE Loss: 23.884722, Total: 24.597027
Dice Loss: 0.703070, CE Loss: 23.796400, Total: 24.499470
Dice Loss: 0.703762, CE Loss: 23.792782, Total: 24.496544
Dice Loss: 0.692518, CE Loss: 22.013933, Total: 22.706451
Dice Loss: 0.685749, CE Loss: 23.498997, Total: 24.184746
Dice Loss: 0.642039, CE Loss: 17.713905, Total: 18.355944
Dice Loss: 0.615358, CE Loss: 16.398838, Total: 17.014196
Dice Loss: 0.653802, CE Loss: 18.835991, Total: 19.489794
Dice Loss: 0.650569, CE Loss: 18.236614, Total: 18.887184
Dice Loss: 0.652955, CE Loss: 39.832069, Total: 40.485023
Dice Loss: 0.637146, CE Loss: 43.945946, Total: 44.583092
Dice Loss: 0.596938, CE Loss: 40.053204, Total: 40.650143
Dice Loss: 0.571693, CE Loss: 43.860046, Total: 44.431740
Dice Loss: 0.498193, CE Loss: 43.682098, Total: 44.180290
Dice Loss: 0.495222, CE Loss: 47.309525, Total: 47.804745
Dice Loss: 0.593877, CE Loss: 54.462372, Total: 55.056248
Dice Loss: 0.438042, CE Loss: 50.056107, Total: 50.494148
Dice Loss: 0.499260, CE Loss: 45.094246, Total: 45.593506
Dice Loss: 0.422588, CE Loss: 49.253998, Total: 49.676586
Dice Loss: 0.353509, CE Loss: 47.326874, Total: 47.680382
Dice Loss: 0.768121, CE Loss: 47.988209, Total: 48.756329
Dice Loss: 0.636827, CE Loss: 31.601683, Total: 32.238510
Dice Loss: 0.603755, CE Loss: 25.450832, Total: 26.054586
Dice Loss: 0.561514, CE Loss: 21.522032, Total: 22.083546
Dice Loss: 0.557399, CE Loss: 25.225739, Total: 25.783138
Dice Loss: 0.427084, CE Loss: 17.552086, Total: 17.979170
Dice Loss: 0.360388, CE Loss: 16.465160, Total: 16.825548
Dice Loss: 0.503194, CE Loss: 20.520706, Total: 21.023901
Dice Loss: 0.448784, CE Loss: 17.627369, Total: 18.076153
Dice Loss: 0.349799, CE Loss: 12.023590, Total: 12.373389
Dice Loss: 0.343629, CE Loss: 12.071297, Total: 12.414926
Dice Loss: 0.732835, CE Loss: 26.863564, Total: 27.596397
Dice Loss: 0.637562, CE Loss: 21.393028, Total: 22.030590
Dice Loss: 0.699468, CE Loss: 25.298038, Total: 25.997507
Dice Loss: 0.604886, CE Loss: 18.400745, Total: 19.005630
Dice Loss: 0.644695, CE Loss: 22.274994, Total: 22.919689
Dice Loss: 0.511992, CE Loss: 17.504082, Total: 18.016073
Dice Loss: 0.544070, CE Loss: 19.178989, Total: 19.723061
Dice Loss: 0.524891, CE Loss: 16.111095, Total: 16.635986
Dice Loss: 0.538814, CE Loss: 19.136269, Total: 19.675083
Dice Loss: 0.554431, CE Loss: 20.714603, Total: 21.269035
Dice Loss: 0.528874, CE Loss: 20.254686, Total: 20.783560
Dice Loss: 0.629675, CE Loss: 21.185303, Total: 21.814978
Dice Loss: 0.570489, CE Loss: 23.243465, Total: 23.813955
Dice Loss: 0.734369, CE Loss: 29.230320, Total: 29.964689
Dice Loss: 0.700486, CE Loss: 28.958683, Total: 29.659168
Dice Loss: 0.699777, CE Loss: 25.810658, Total: 26.510435
Dice Loss: 0.754432, CE Loss: 33.871025, Total: 34.625458
Dice Loss: 0.578817, CE Loss: 24.051723, Total: 24.630541
Dice Loss: 0.544509, CE Loss: 22.618774, Total: 23.163284
Dice Loss: 0.590264, CE Loss: 24.464125, Total: 25.054390
Dice Loss: 0.603864, CE Loss: 26.465889, Total: 27.069754
Dice Loss: 0.590833, CE Loss: 24.400610, Total: 24.991444
Epoch: 0, Step: 20, Loss: 290.9514395713806, Dice: 0.19674049317836761
Dice Loss: 0.712109, CE Loss: 48.291779, Total: 49.003887
Dice Loss: 0.642155, CE Loss: 33.379177, Total: 34.021332
Dice Loss: 0.542644, CE Loss: 23.766567, Total: 24.309212
Dice Loss: 0.601531, CE Loss: 28.138779, Total: 28.740311
Dice Loss: 0.557610, CE Loss: 26.141462, Total: 26.699072
Dice Loss: 0.610736, CE Loss: 29.273113, Total: 29.883850
Dice Loss: 0.576429, CE Loss: 25.170483, Total: 25.746912
Dice Loss: 0.604148, CE Loss: 27.074516, Total: 27.678663
Dice Loss: 0.611034, CE Loss: 27.447411, Total: 28.058445
Dice Loss: 0.670487, CE Loss: 32.826237, Total: 33.496723
Dice Loss: 0.643030, CE Loss: 29.297316, Total: 29.940346
Dice Loss: 0.594276, CE Loss: 34.292210, Total: 34.886486
Dice Loss: 0.406591, CE Loss: 17.526712, Total: 17.933304
Dice Loss: 0.328889, CE Loss: 10.630992, Total: 10.959881
Dice Loss: 0.542895, CE Loss: 26.432217, Total: 26.975111
Dice Loss: 0.385838, CE Loss: 13.301291, Total: 13.687128
Dice Loss: 0.271512, CE Loss: 4.881458, Total: 5.152970
Dice Loss: 0.406091, CE Loss: 16.310160, Total: 16.716251
Dice Loss: 0.206594, CE Loss: 0.294069, Total: 0.500663
Dice Loss: 0.072469, CE Loss: -11.888697, Total: -11.816228
Dice Loss: 0.196042, CE Loss: 2.219425, Total: 2.415468
Dice Loss: 0.193463, CE Loss: -0.676383, Total: -0.482920
Dice Loss: 0.799282, CE Loss: 46.845692, Total: 47.644974
Dice Loss: 0.831644, CE Loss: 49.165218, Total: 49.996861
Dice Loss: 0.838026, CE Loss: 48.536880, Total: 49.374908
Dice Loss: 0.867418, CE Loss: 55.598087, Total: 56.465504
Dice Loss: 0.769599, CE Loss: 44.947067, Total: 45.716667
Dice Loss: 0.730984, CE Loss: 43.463799, Total: 44.194782
Dice Loss: 0.813103, CE Loss: 47.768845, Total: 48.581947
Dice Loss: 0.720318, CE Loss: 36.677986, Total: 37.398304
Dice Loss: 0.652367, CE Loss: 37.857536, Total: 38.509903
Dice Loss: 0.684205, CE Loss: 34.713188, Total: 35.397392
Dice Loss: 0.720765, CE Loss: 38.277473, Total: 38.998238
Dice Loss: 0.656379, CE Loss: 25.496502, Total: 26.152882
Dice Loss: 0.805701, CE Loss: 36.352745, Total: 37.158447
Dice Loss: 0.528471, CE Loss: 24.313339, Total: 24.841810
Dice Loss: 0.618524, CE Loss: 23.887150, Total: 24.505674
Dice Loss: 0.607049, CE Loss: 26.016949, Total: 26.623999
Dice Loss: 0.457135, CE Loss: 23.973627, Total: 24.430761
Dice Loss: 0.332958, CE Loss: 18.955738, Total: 19.288696
Dice Loss: 0.583457, CE Loss: 23.599400, Total: 24.182858
Dice Loss: 0.725663, CE Loss: 31.044052, Total: 31.769714
Dice Loss: 0.713884, CE Loss: 30.256474, Total: 30.970358
Dice Loss: 0.670329, CE Loss: 27.027733, Total: 27.698063
Dice Loss: 0.608836, CE Loss: 13.758317, Total: 14.367152
Dice Loss: 0.706113, CE Loss: 19.058289, Total: 19.764402
Dice Loss: 0.596292, CE Loss: 13.044683, Total: 13.640976
Dice Loss: 0.679643, CE Loss: 16.717472, Total: 17.397116
Dice Loss: 0.758413, CE Loss: 22.136654, Total: 22.895067
Dice Loss: 0.729538, CE Loss: 20.090294, Total: 20.819832
Dice Loss: 0.750247, CE Loss: 21.883144, Total: 22.633390
Dice Loss: 0.717237, CE Loss: 18.824982, Total: 19.542219
Dice Loss: 0.734565, CE Loss: 19.562485, Total: 20.297050
Dice Loss: 0.635907, CE Loss: 14.291203, Total: 14.927110
Dice Loss: 0.700845, CE Loss: 17.534372, Total: 18.235218
Dice Loss: 0.768768, CE Loss: 38.863831, Total: 39.632599
Dice Loss: 0.698659, CE Loss: 37.365417, Total: 38.064075
Dice Loss: 0.454321, CE Loss: 17.582943, Total: 18.037264
Dice Loss: 0.477404, CE Loss: 20.241173, Total: 20.718576
Dice Loss: 0.467552, CE Loss: 25.024069, Total: 25.491621
Dice Loss: 0.522041, CE Loss: 22.947025, Total: 23.469067
Dice Loss: 0.466523, CE Loss: 19.306690, Total: 19.773212
Dice Loss: 0.395242, CE Loss: 16.282730, Total: 16.677973
Dice Loss: 0.480733, CE Loss: 20.689396, Total: 21.170128
Dice Loss: 0.437110, CE Loss: 18.936613, Total: 19.373724
Dice Loss: 0.373728, CE Loss: 15.108731, Total: 15.482459
Dice Loss: 0.617294, CE Loss: 25.904572, Total: 26.521866
Dice Loss: 0.586067, CE Loss: 32.754120, Total: 33.340187
Dice Loss: 0.552708, CE Loss: 31.122261, Total: 31.674969
Dice Loss: 0.413162, CE Loss: 16.238960, Total: 16.652122
Dice Loss: 0.506204, CE Loss: 21.623251, Total: 22.129456
Dice Loss: 0.415594, CE Loss: 25.267685, Total: 25.683279
Dice Loss: 0.384234, CE Loss: 19.159008, Total: 19.543242
Dice Loss: 0.301516, CE Loss: 14.630148, Total: 14.931664
Dice Loss: 0.335660, CE Loss: 12.173010, Total: 12.508670
Dice Loss: 0.164111, CE Loss: 7.455034, Total: 7.619145
